IndexName,date,nav
NIFTY SMALLCAP 250,10-Dec-24,23324.82
NIFTY SMALLCAP 250,11-Dec-24,23390.65
NIFTY SMALLCAP 250,12-Dec-24,23172.77
NIFTY SMALLCAP 250,13-Dec-24,23088.61
NIFTY SMALLCAP 250,16-Dec-24,23190.08
NIFTY SMALLCAP 250,17-Dec-24,23061.18
NIFTY SMALLCAP 250,18-Dec-24,22905.13
NIFTY SMALLCAP 250,19-Dec-24,22827.49
NIFTY SMALLCAP 250,20-Dec-24,22367.9
NIFTY SMALLCAP 250,23-Dec-24,22272.43
NIFTY SMALLCAP 250,24-Dec-24,22341.14
NIFTY SMALLCAP 250,26-Dec-24,22334.78
NIFTY SMALLCAP 250,27-Dec-24,22395.19
NIFTY SMALLCAP 250,30-Dec-24,22297.75
NIFTY SMALLCAP 250,31-Dec-24,22442.03
NIFTY SMALLCAP 250,01-Jan-25,22639.89
NIFTY SMALLCAP 250,02-Jan-25,22765.23
NIFTY SMALLCAP 250,03-Jan-25,22721.16
NIFTY SMALLCAP 250,06-Jan-25,22067.12
NIFTY SMALLCAP 250,07-Jan-25,22379.17
NIFTY SMALLCAP 250,08-Jan-25,22069.9
NIFTY SMALLCAP 250,09-Jan-25,21812.55
NIFTY SMALLCAP 250,10-Jan-25,21280.42
NIFTY SMALLCAP 250,13-Jan-25,20429.01
NIFTY SMALLCAP 250,14-Jan-25,20761.31
NIFTY SMALLCAP 250,15-Jan-25,20870.2
NIFTY SMALLCAP 250,16-Jan-25,21122.85
NIFTY SMALLCAP 250,17-Jan-25,21113.52
NIFTY SMALLCAP 250,20-Jan-25,21291.62
NIFTY SMALLCAP 250,21-Jan-25,20840.68
NIFTY SMALLCAP 250,22-Jan-25,20507.82
