"Date","Price","Open","High","Low","Vol.","Change %"
"01-07-2024","35,771.61","35,771.61","35,771.61","35,771.61","","0.75%"
"28-06-2024","35,506.97","35,506.97","35,506.97","35,506.97","","0.56%"
"26-06-2024","35,308.41","35,308.41","35,308.41","35,308.41","","0.30%"
"25-06-2024","35,204.26","35,204.26","35,204.26","35,204.26","","0.37%"
"24-06-2024","35,075.14","35,075.14","35,075.14","35,075.14","","0.24%"
"21-06-2024","34,991.85","34,991.85","34,991.85","34,991.85","","-0.30%"
"20-06-2024","35,096.03","35,096.03","35,096.03","35,096.03","","0.38%"
"19-06-2024","34,963.41","34,963.41","34,963.41","34,963.41","","-0.47%"
"18-06-2024","35,127.10","35,127.10","35,127.10","35,127.10","","0.52%"
"14-06-2024","34,943.92","34,943.92","34,943.92","34,943.92","","0.66%"
"13-06-2024","34,715.59","34,715.59","34,715.59","34,715.59","","0.52%"
"12-06-2024","34,536.95","34,536.95","34,536.95","34,536.95","","0.72%"
"10-06-2024","34,291.15","34,291.15","34,291.15","34,291.15","","0.20%"
"07-06-2024","34,221.81","34,221.81","34,221.81","34,221.81","","3.37%"
"06-06-2024","33,104.99","33,104.99","33,104.99","33,104.99","","0.00%"
"05-06-2024","33,104.99","33,104.99","33,104.99","33,104.99","","3.59%"
"04-06-2024","31,956.22","31,956.22","31,956.22","31,956.22","","-3.65%"
"31-05-2024","33,168.20","33,168.20","33,168.20","33,168.20","","0.37%"
"30-05-2024","33,045.31","33,045.31","33,045.31","33,045.31","","-1.02%"
"29-05-2024","33,387.37","33,387.37","33,387.37","33,387.37","","-0.61%"
"28-05-2024","33,593.17","33,593.17","33,593.17","33,593.17","","-0.49%"
"27-05-2024","33,759.03","33,759.03","33,759.03","33,759.03","","0.04%"
"24-05-2024","33,744.48","33,744.48","33,744.48","33,744.48","","-0.02%"
"23-05-2024","33,752.67","33,752.67","33,752.67","33,752.67","","1.19%"
"22-05-2024","33,357.18","33,357.18","33,357.18","33,357.18","","0.27%"
"21-05-2024","33,266.91","33,266.91","33,266.91","33,266.91","","0.20%"
"18-05-2024","33,199.10","33,199.10","33,199.10","33,199.10","","0.38%"
"17-05-2024","33,073.63","33,073.63","33,073.63","33,073.63","","0.65%"
"16-05-2024","32,860.88","32,860.88","32,860.88","32,860.88","","1.20%"
"14-05-2024","32,469.95","32,469.95","32,469.95","32,469.95","","0.84%"
"13-05-2024","32,197.97","32,197.97","32,197.97","32,197.97","","0.91%"
"09-05-2024","31,908.53","31,908.53","31,908.53","31,908.53","","-1.74%"
"08-05-2024","32,473.36","32,473.36","32,473.36","32,473.36","","0.33%"
"07-05-2024","32,365.34","32,365.34","32,365.34","32,365.34","","-1.53%"
"03-05-2024","32,868.94","32,868.94","32,868.94","32,868.94","","-0.59%"
"02-05-2024","33,063.00","33,063.00","33,063.00","33,063.00","","0.41%"
"30-04-2024","32,927.38","32,927.38","32,927.38","32,927.38","","0.02%"
"26-04-2024","32,919.57","32,919.57","32,919.57","32,919.57","","0.60%"
"25-04-2024","32,724.61","32,724.61","32,724.61","32,724.61","","0.66%"
"24-04-2024","32,509.43","32,509.43","32,509.43","32,509.43","","0.38%"
"23-04-2024","32,387.08","32,387.08","32,387.08","32,387.08","","0.38%"
"22-04-2024","32,265.09","32,265.09","32,265.09","32,265.09","","0.93%"
"19-04-2024","31,967.61","31,967.61","31,967.61","31,967.61","","0.30%"
"18-04-2024","31,872.54","31,872.54","31,872.54","31,872.54","","-0.48%"
"16-04-2024","32,026.71","32,026.71","32,026.71","32,026.71","","-0.27%"
"15-04-2024","32,114.13","32,114.13","32,114.13","32,114.13","","-1.29%"
"12-04-2024","32,532.43","32,532.43","32,532.43","32,532.43","","-0.81%"
"10-04-2024","32,798.55","32,798.55","32,798.55","32,798.55","","0.60%"
"09-04-2024","32,603.32","32,603.32","32,603.32","32,603.32","","-0.14%"
"08-04-2024","32,647.88","32,647.88","32,647.88","32,647.88","","0.50%"
"05-04-2024","32,484.71","32,484.71","32,484.71","32,484.71","","0.24%"
"04-04-2024","32,405.59","32,405.59","32,405.59","32,405.59","","0.29%"
"03-04-2024","32,313.03","32,313.03","32,313.03","32,313.03","","0.17%"
"02-04-2024","32,256.66","32,256.66","32,256.66","32,256.66","","2.40%"
"27-03-2024","31,499.32","31,499.32","31,499.32","31,499.32","","0.47%"
"22-03-2024","31,353.21","31,353.21","31,353.21","31,353.21","","0.49%"
"21-03-2024","31,199.42","31,199.42","31,199.42","31,199.42","","1.35%"
"20-03-2024","30,783.19","30,783.19","30,783.19","30,783.19","","0.11%"
"19-03-2024","30,749.48","30,749.48","30,749.48","30,749.48","","-1.17%"
"18-03-2024","31,113.75","31,113.75","31,113.75","31,113.75","","-2.85%"
"16-03-2024","32,026.71","32,026.71","32,026.71","32,026.71","","3.03%"
"15-03-2024","31,085.07","31,085.07","31,085.07","31,085.07","","-0.46%"
"14-03-2024","31,227.76","31,227.76","31,227.76","31,227.76","","1.37%"
